H	2	1024	"2017-03-22 15:10:37"	1605	0.63
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	4
25	3
26	4
27	6
28	14
29	18
30	102
31	481
32	783
33	796
34	887
35	884
36	930
37	954
38	1058
39	1116
40	1165
41	1155
42	1181
43	1308
44	1324
45	1391
46	1368
47	1336
48	1304
49	1279
50	1227
51	1149
52	1168
53	1130
54	1130
55	1024
56	1000
57	958
58	940
59	860
60	923
61	863
62	882
63	860
64	850
65	825
66	838
67	840
68	823
69	834
70	879
71	912
72	931
73	943
74	910
75	900
76	907
77	935
78	1003
79	1031
80	991
81	1000
82	990
83	1033
84	1031
85	1044
86	1105
87	1163
88	1035
89	1157
90	1145
91	1150
92	1138
93	1107
94	1217
95	1132
96	1203
97	1176
98	1140
99	1200
100	1238
101	1279
102	1252
103	1122
104	1225
105	1187
106	1134
107	1164
108	1258
109	1140
110	1169
111	1186
112	1209
113	1170
114	1106
115	1087
116	1135
117	1070
118	1103
119	1125
120	1103
121	1056
122	1102
123	1071
124	1136
125	1157
126	1186
127	1200
128	1178
129	1219
130	1268
131	1355
132	1338
133	1398
134	1404
135	1408
136	1429
137	1526
138	1429
139	1449
140	1522
141	1465
142	1529
143	1550
144	1588
145	1589
146	1542
147	1569
148	1607
149	1489
150	1531
151	1560
152	1551
153	1536
154	1464
155	1542
156	1555
157	1450
158	1478
159	1467
160	1545
161	1410
162	1439
163	1496
164	1450
165	1372
166	1415
167	1432
168	1390
169	1424
170	1358
171	1363
172	1374
173	1388
174	1297
175	1262
176	1244
177	1319
178	1320
179	1232
180	1343
181	1261
182	1255
183	1250
184	1245
185	1207
186	1185
187	1180
188	1156
189	1172
190	1239
191	1128
192	1116
193	1162
194	1174
195	1108
196	1141
197	1129
198	1130
199	1112
200	1106
201	1139
202	1095
203	1035
204	1106
205	1069
206	1063
207	1110
208	1002
209	1108
210	947
211	1008
212	1005
213	964
214	957
215	979
216	907
217	1012
218	1005
219	996
220	931
221	987
222	980
223	937
224	913
225	888
226	924
227	849
228	937
229	911
230	957
231	905
232	834
233	868
234	882
235	887
236	845
237	856
238	877
239	848
240	897
241	807
242	822
243	819
244	785
245	782
246	811
247	842
248	851
249	807
250	803
251	816
252	844
253	795
254	814
255	807
256	819
257	776
258	803
259	806
260	743
261	804
262	764
263	792
264	699
265	759
266	745
267	818
268	757
269	811
270	758
271	765
272	682
273	725
274	730
275	720
276	755
277	693
278	735
279	715
280	735
281	755
282	715
283	710
284	706
285	711
286	781
287	761
288	692
289	742
290	720
291	704
292	711
293	664
294	755
295	668
296	738
297	738
298	684
299	721
300	649
301	709
302	692
303	724
304	719
305	743
306	695
307	698
308	730
309	725
310	694
311	688
312	702
313	683
314	684
315	750
316	732
317	700
318	720
319	670
320	716
321	704
322	694
323	689
324	677
325	708
326	643
327	709
328	659
329	644
330	667
331	671
332	641
333	626
334	654
335	597
336	648
337	675
338	706
339	620
340	613
341	625
342	619
343	635
344	667
345	633
346	633
347	676
348	593
349	594
350	645
351	627
352	638
353	612
354	655
355	624
356	610
357	636
358	616
359	624
360	612
361	610
362	613
363	628
364	605
365	590
366	617
367	654
368	665
369	611
370	643
371	652
372	641
373	608
374	639
375	641
376	690
377	609
378	601
379	650
380	606
381	640
382	682
383	593
384	661
385	653
386	681
387	612
388	640
389	668
390	717
391	661
392	628
393	724
394	691
395	687
396	707
397	666
398	711
399	710
400	720
401	721
402	689
403	652
404	715
405	745
406	673
407	680
408	656
409	672
410	688
411	689
412	671
413	687
414	620
415	650
416	629
417	601
418	650
419	631
420	649
421	603
422	625
423	663
424	632
425	654
426	635
427	620
428	601
429	605
430	624
431	624
432	569
433	601
434	617
435	601
436	628
437	584
438	609
439	577
440	641
441	605
442	624
443	538
444	589
445	619
446	622
447	638
448	630
449	614
450	572
451	609
452	608
453	570
454	573
455	616
456	636
457	620
458	582
459	573
460	673
461	592
462	570
463	635
464	638
465	644
466	596
467	589
468	646
469	649
470	609
471	595
472	615
473	619
474	637
475	621
476	606
477	613
478	619
479	641
480	597
481	603
482	656
483	656
484	636
485	665
486	609
487	616
